Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Bhagwanth Khuba,459290,3800,47.9%,Bharatiya Janta Party
2,N. Dharam Singh,367068,3800,38.3%,Indian National Congress
3,Bandeppa Khashempur,58728,200,6.1%,Janata Dal (Secular)
4,Shankar Bhayya,15079,200,1.6%,Bahujan Samaj Party
5,Balbheem Veerappa Unne,7118,200,0.7%,Independent
6,Ismail Zabi Ullah,5818,200,0.6%,Independent
7,Prabhu,5097,200,0.5%,Independent
8,Chandrakant,4540,200,0.5%,Aam Aadmi Party
9,Machendar,4379,200,0.5%,Independent
10,Abdul Hameed Faraan,3747,200,0.4%,Welfare Party Of India
11,Babu Pasha,2869,200,0.3%,Independent
12,Shravana S.Bhande Munganal,2862,200,0.3%,Rashtriya Samaj Paksha
13,Kallaling Hugar Nelogi,2307,200,0.2%,Independent
14,Naganath Patil,2204,200,0.2%,Independent
15,Mohammed Rafiq,2095,200,0.2%,Independent
16,Ramesh Gaykawad,1976,200,0.2%,Ambedkar National Congress
17,Siddaramappa Nagappa Karabasti Chinchansoor,1742,200,0.2%,Independent
18,Mirza Shafee Baig,1462,200,0.2%,Independent
19,Govind,1427,200,0.1%,Samajwadi Party
20,Hattarki Yashwanthrao Shivaraya,1414,200,0.1%,Bharatiya Peoples Party
21,Subhash Bhimsha Sindankera,1406,200,0.1%,Independent
22,Ramanna,1378,200,0.1%,Hindustan Janata Party
23,Syed Waheed,1302,200,0.1%,Bahujan Mukti Party
24,Shamala.M.Udanoor,1259,200,0.1%,Independent
