Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Dr. Kakali Ghoshdostidar,525387,1800,41.4%,All India Trinamool Congress
2,Dr. Mortoza Hossain,352246,1800,27.8%,All India Forward Bloc
3,P.C. Sorcar Junior,296608,1000,23.4%,Bharatiya Janta Party
4,Riju Ghosal,40660,200,3.2%,Indian National Congress
5,Sukumar Bala,12178,200,1.0%,Bahujan Samaj Party
6,Morttaja Hosen,6911,200,0.5%,Independent
7,Md. Rafikul Islam,6895,200,0.5%,Welfare Party Of India
8,Shri Kaushik Das Gupta,6375,200,0.5%,Independent
9,Kalyan Basak,4122,200,0.3%,Independent
10,Paresh Chandra Ghosh,2439,200,0.2%,Socialist Unity Centre Of India (COMMUNIST)
11,Bikash Hazra,1478,200,0.1%,Bahujan Mukti Party
12,Sukla Bhuimali,1332,200,0.1%,Communist Party Of India (Marxist-Leninist) Red Star
