x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Gyanendra Kumar Singh,8787,"63,989",44.4%,Bharatiya Janta Party,
2,2,Manoj Kumar,8787,"55,630",38.6%,Janata Dal (United),
3,3,Neelu Devi,99,"3,722",2.6%,Independent,
4,4,Sanjay Singh,99,"3,649",2.5%,Independent,
5,5,Chakradhar Prasad Singh,99,"3,576",2.5%,Communist Party Of India,
6,6,Shambhu Singh,92,"2,959",2.1%,Jan Adhikar Party (Loktantrik),
7,7,Dina Saw,84,"1,583",1.1%,Independent,
8,8,Ravindra Paswan,81,"1,547",1.1%,Bahujan Samaj Party,
9,9,Tripurari Singh,81,708,0.5%,Independent,
10,10,Ganita Devi,81,621,0.4%,Independent,
11,11,Dr. Kumar Indradev,81,594,0.4%,Independent,
12,12,Vikash Kumar Singh,81,517,0.4%,Rashtriya Garib Dal,
13,13,Shshi Bhushan Kumar,81,488,0.3%,Bharat Bhrashtachar Mitao Party,
14,14,Devendar Pandi,81,458,0.3%,Rastriya Sadabahar Party,
