x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Parmila Tokas,716,"54,645",56.8%,Aam Aadmi Party,
2,2,Anil Kumar Sharma,716,"35,577",37.0%,Bharatiya Janta Party,
3,3,Lila Dhar Bhatt,69,"4,042",4.2%,Indian National Congress,
4,4,Mahipal Singh,57,828,0.9%,Bahujan Samaj Party,
5,5,Kushma Devi,57,234,0.2%,Independent,
6,6,Rakesh Kumar,57,133,0.1%,Hindusthan Nirman Dal,
7,7,Udaibir Singh Tokas,57,120,0.1%,Hind Congress Party,
8,8,Rai Singh,57,59,0.1%,Rashtriya Shakti Party(India),
9,9,Kuldeep Singh Ahlawat,57,54,0.1%,Independent,
10,10,M G Radhakrishnan,57,43,0.0%,Purvanchal Mahapanchayat,
11,11,K Jeevan Rita Murthy,57,38,0.0%,Republican Party Of India (A),
12,12,Asif Khan,57,21,0.0%,Independent,
